-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |          Ei           Ek          |              Lower level               |               Upper level               |   Type|                  TP  |    Line  |
          |      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |         (eV)         (eV)         |----------------------------------------|-----------------------------------------|       |                 Ref. |    Ref.  |
          |       Air (nm)       |       Air (nm)       |           |             |      |                                   | Conf.                 | Term    | J    | Conf.                  | Term    | J    |       |                      |          |
Ar II     |          900.790     |          900.78745   |       0.5 |             |      |    21.42648933  -     22.80250953 | 3s2.3p4.(1D).4p       | 2P*     | 1/2  | 3s2.3p4.(3P).5s        | 2P      | 1/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          900.84569   |          900.845652  |        87 |             |      |    23.62038658  -     24.99631786 | 3s2.3p4.(3P).5p       | 2D*     | 5/2  | 3s2.3p4.(3P).5d        | 2F      | 7/2  |       |                      |  L11520  |
Ar II     |          901.4938    |          901.49353   |         1 |             |      |    22.83687146  -     24.21181391 | 3s2.3p4.(3P).4d       | 4D      | 1/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 1/2  |       |                      |  L14821  |
Ar II     |          901.75916   |          901.759146  |       102 |             |      |    18.42654895  -     19.80108640 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P).4p        | 2P*     | 1/2  |       |                      |  L11520  |
Ar II     |          901.822     |          901.81995   |       0.5 |             |      |    22.78797899  -     24.16242376 | 3s2.3p4.(3P).4d       | 4D      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[3]*   | 7/2  |       |                      |  L14821  |
Ar II     |          902.230     |          902.23173   |         0 |             |      |    22.30870468  -     23.68252216 | 3s2.3p4.(1S).3d       | 2D      | 3/2  | 3s2.3p4.(3P).5p        | 2D*     | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          903.135     |          903.136194  |         1 |             |      |    23.43808861  -     24.81053026 | 3s2.3p4.(3P).5p       | 4P*     | 3/2  | 3s2.3p4.(3P).6s        | 4P      | 1/2  |       |                      |  L14821  |
Ar II     |          903.59204   |          903.59192   |        19 |             |      |    22.78797899  -     24.15972844 | 3s2.3p4.(3P).4d       | 4D      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar II     |          905.1229    |          905.12310   |         7 |             |      |    22.81135824  -     24.18078715 | 3s2.3p4.(3P).4d       | 4D      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar I      |                      |          905.7493    |           | 9.7e+04     | E    |    13.47988670  -     14.84836887 | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 0    | 3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 1    |       |                T1203 |          |
Ar II     |          906.07463   |          906.07468   |        50 |             |      |    25.18754626  -     26.55553696 | 3s2.3p4.(1D).5p       | 2F*     | 5/2  | 3s2.3p4.(1D).5d        | 2G      | 7/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          906.80230   |          906.80229   |        44 |             |      |    22.78797899  -     24.15487203 | 3s2.3p4.(3P).4d       | 4D      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[4]*   | 7/2  |       |                      |  L11520  |
Ar I      |          907.5394    |          907.5395    |        20 | 1.2e+06     | D    |    13.32785693  -     14.6936396  | 3s2.3p5.(2P*<1/2>).4p | 2[1/2]  | 1    | 3s2.3p5.(2P*<3/2>).4d  | 2[1/2]* | 0    |       |               T1218n |   L2634  |
Ar II     |          907.97072   |          907.97082   |        15 |             |      |    22.81135824  -     24.17649215 | 3s2.3p4.(3P).4d       | 4D      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 3/2  |       |                      |  L11520  |
Ar II     |          909.51026   |          909.51026   |        68 |             |      |    25.19328777  -     26.55611105 | 3s2.3p4.(1D).5p       | 2F*     | 7/2  | 3s2.3p4.(1D).5d        | 2G      | 9/2  |       |                      |  L11520  |
Ar II     |          909.85743   |          909.85739   |        40 |             |      |    23.64787986  -     25.01018319 | 3s2.3p4.(3P).5p       | 4D*     | 1/2  | 3s2.3p4.(3P).5d        | 4F      | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          910.65624   |          910.656254  |       102 |             |      |    23.48447022  -     24.84557850 | 3s2.3p4.(3P).5p       | 4D*     | 7/2  | 3s2.3p4.(3P).5d        | 4F      | 9/2  |       |                      |  L11520  |
Ar II     |          911.4348    |          911.43522   |         6 |             |      |    23.48728610  -     24.84723110 | 3s2.3p4.(3P).5p       | 4P*     | 1/2  | 3s2.3p4.(3P).5d        | 4D      | 1/2  |       |                      |  L11520  |
Ar I      |          912.2967    |          912.2967    |     35000 | 1.89e+07    | C    |    11.54835433  -     12.90701519 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2    | 3s2.3p5.(2P*<3/2>).4p  | 2[1/2]  | 1    |       |               T1242n |   L2634  |
Ar II     |          913.849     |          913.84704   |        0h |             |      |    18.25395187  -     19.61030772 | 3s2.3p4.(3P).3d       | 4P      | 1/2  | 3s2.3p4.(3P).4p        | 4D*     | 3/2  |       |                      |  L14821  |
Ar II     |          915.082     |          915.08105   |         1 | 4.5e+05     | E    |    18.28805513  -     19.64258190 | 3s2.3p4.(3P).3d       | 4P      | 3/2  | 3s2.3p4.(3P).4p        | 4D*     | 1/2  |       |               T1600n |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          915.154     |          915.15858   |         0 |             |      |    23.57017702  -     24.92458905 | 3s2.3p4.(3P).5p       | 4D*     | 3/2  | 3s2.3p4.(3P).5d        | 4P      | 1/2  |       |                      |  L14821  |
Ar II     |          915.60492   |          915.604907  |        27 |             |      |    23.43808861  -     24.79184041 | 3s2.3p4.(3P).5p       | 4P*     | 3/2  | 3s2.3p4.(3P).5d        | 4D      | 5/2  |       |                      |  L11520  |
Ar II     |          915.90316   |          915.90326   |        17 |             |      |    22.26659785  -     23.61990867 | 3s2.3p4.(1S).3d       | 2D      | 5/2  | 3s2.3p4.(3P).5p        | 2P*     | 3/2  |       |                      |  L11520  |
Ar II     |          916.8917    |          916.89115   |         1 |             |      |    22.82463943  -     24.17649215 | 3s2.3p4.(1D).3d       | 2S      | 1/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          919.1185    |          919.117819  |         7 |             |      |    21.35179967  -     22.70037738 | 3s2.3p4.(1D).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).5s        | 2P      | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          919.25919   |          919.25927   |        31 |             |      |    22.81135824  -     24.15972844 | 3s2.3p4.(3P).4d       | 4D      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar I      |          919.4638    |          919.4638    |       550 | 1.76e+06    | C    |    12.90701519  -     14.2550855  | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1    | 3s2.3p5.(2P*<1/2>).5s  | 2[1/2]* | 1    |       |               T1618n |   L2634  |
Ar II     |          921.039     |          921.03671   |         1 |             |      |    18.33428069  -     19.68004879 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P).4p        | 2D*     | 5/2  |       |                      |  L14821  |
Ar II     |          921.89849   |          921.89859   |        38 |             |      |    23.61990867  -     24.96441862 | 3s2.3p4.(3P).5p       | 2P*     | 3/2  | 3s2.3p4.(3P).5d        | 4F      | 5/2  |       |                      |  L11520  |
Ar II     |          922.22677   |          922.22640   |        10 |             |      |    23.62038658  -     24.96441862 | 3s2.3p4.(3P).5p       | 2D*     | 5/2  | 3s2.3p4.(3P).5d        | 4F      | 5/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar I      |          922.4499    |          922.4498    |     15000 | 5.03e+06    | C    |    11.82807106  -     13.17177759 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1    | 3s2.3p5.(2P*<3/2>).4p  | 2[3/2]  | 2    |       |               T1242n |   L2634  |
Ar II     |          925.2633    |          925.26329   |        10 |             |      |    22.83687146  -     24.17649215 | 3s2.3p4.(3P).4d       | 4D      | 1/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 3/2  |       |                      |  L11520  |
Ar II     |          925.8772    |          925.87716   |        10 |             |      |    25.30688069  -     26.64561317 | 3s2.3p4.(1D).5p       | 2D*     | 3/2  | 3s2.3p4.(1D).5d        | 2F      | 5/2  |       |                      |  L11520  |
Ar II     |          927.97099   |          927.970915  |        26 |             |      |    18.42654895  -     19.76226091 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P).4p        | 2D*     | 3/2  |       |                      |  L11520  |
Ar I      |          929.1531    |          929.1532    |       400 | 3.26e+06    | C    |    12.90701519  -     14.2410276  | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1    | 3s2.3p5.(2P*<1/2>).5s  | 2[1/2]* | 0    |       |               T1618n |   L2634  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          930.587     |          930.58698   |         1 |             |      |    24.62264148  -     25.95459851 | 3s2.3p4.(1D).4d       | 2G      | 7/2  | 3s2.3p4.(1D<2>).4f     | 2[4]*   | 7/2  |       |                      |  L14821  |
Ar II     |          931.351     |          931.35122   |         1 |             |      |    24.62377584  -     25.95463991 | 3s2.3p4.(1D).4d       | 2G      | 9/2  | 3s2.3p4.(1D<2>).4f     | 2[4]*   | 9/2  |       |                      |  L14821  |
Ar II     |          933.105     |          933.10552   |         1 |             |      |    23.48728610  -     24.81564805 | 3s2.3p4.(3P).5p       | 4P*     | 1/2  | 3s2.3p4.(3P).5d        | 4D      | 3/2  |       |                      |  L14821  |
